   138/299     4.13G   0.01847  0.008539         0   0.02701        27       640    0.7645    0.6965    0.7194    0.4227   0.05846   0.06546         0
   139/299     4.13G   0.01842  0.008481         0    0.0269        11       640    0.8128    0.6477     0.723    0.4332   0.05965    0.0673         0
   140/299     4.13G   0.01761  0.008455         0   0.02607        26       640    0.8219    0.6504     0.716    0.4306   0.05919   0.06862         0
   141/299     4.13G   0.01798  0.008218         0   0.02619         7       640    0.8138    0.6396    0.7159    0.4187    0.0587   0.06838         0
   142/299     4.13G   0.01762  0.008745         0   0.02637        24       640    0.8025    0.6504    0.7105    0.4216   0.05851    0.0669         0
   143/299     4.13G    0.0172  0.008376         0   0.02558        21       640    0.7774     0.653    0.7104    0.4234   0.05813    0.0672         0
   144/299     4.13G   0.01741  0.008375         0   0.02578        12       640    0.8339    0.6396    0.7341    0.4418   0.05781   0.06735         0
   145/299     4.13G   0.01712  0.008041         0   0.02516        20       640    0.7953    0.6748    0.7182    0.4319   0.05913   0.06666         0
   146/299     4.13G   0.01728   0.00853         0   0.02581        23       640    0.8412    0.6477    0.7234    0.4461   0.05821   0.06669         0
   147/299     4.13G   0.01714  0.008266         0   0.02541        17       640    0.7656    0.6829    0.7132    0.4362   0.05829   0.06584         0
   148/299     4.13G   0.01609   0.00802         0   0.02411        12       640    0.8056    0.6748    0.7254    0.4352   0.05828   0.06644         0
   149/299     4.13G   0.01715  0.008032         0   0.02518        14       640     0.772    0.6883    0.7178    0.4462    0.0578   0.06755         0
   150/299     4.13G   0.01657  0.007812         0   0.02439        12       640    0.7828    0.6935    0.7321    0.4468   0.05704   0.06678         0
   151/299     4.13G   0.01665  0.008279         0   0.02493        16       640    0.8197    0.6423    0.7193    0.4413    0.0583   0.06636         0
   152/299     4.13G   0.01682  0.008161         0   0.02498        31       640    0.8409    0.6477    0.7303    0.4476   0.05828    0.0671         0
   153/299     4.13G   0.01618  0.007832         0   0.02401        17       640    0.8006    0.6639    0.7195    0.4435   0.05833   0.06766         0
   154/299     4.13G   0.01668  0.007976         0   0.02466        16       640      0.81    0.6585    0.7167    0.4394   0.05868   0.06861         0
   155/299     4.13G   0.01651  0.008183         0   0.02469        26       640    0.7868    0.6801    0.7281    0.4368   0.05791   0.06799         0
   156/299     4.13G   0.01578  0.007593         0   0.02337        21       640    0.7484    0.6692    0.6932    0.4216   0.05775   0.06866         0
   157/299     4.13G   0.01691  0.007962         0   0.02487         6       640    0.7815    0.6694    0.7159    0.4347   0.05741   0.06897         0
   158/299     4.13G   0.01606  0.007632         0   0.02369        32       640    0.7842    0.6504    0.7044    0.4279   0.05764   0.06962         0
   159/299     4.13G   0.01619  0.008276         0   0.02446        57       640    0.8545    0.6366    0.7192    0.4343   0.05825   0.06917         0
   160/299     4.13G   0.01634  0.007881         0   0.02422        11       640    0.7998    0.6396    0.7056    0.4342    0.0582   0.06858         0
   161/299     4.13G   0.01577  0.007815         0   0.02359         9       640    0.8188    0.6396     0.716    0.4429   0.05739   0.06873         0
   162/299     4.13G   0.01634  0.007736         0   0.02407        11       640    0.7958    0.6775    0.7177    0.4396   0.05787   0.06835         0
   163/299     4.13G   0.01621  0.008053         0   0.02426        14       640    0.7733    0.6747    0.7153    0.4399   0.05782   0.06902         0
   164/299     4.13G   0.01555  0.007541         0   0.02309        20       640    0.7583    0.6801    0.7172    0.4431   0.05758   0.06876         0
   165/299     4.13G   0.01564  0.007852         0   0.02349        36       640    0.8333    0.6368     0.718     0.444    0.0584   0.06815         0
   166/299     4.13G    0.0151  0.007455         0   0.02255        11       640    0.8026    0.6504    0.7182    0.4326   0.05827    0.0686         0
   167/299     4.13G   0.01536  0.007835         0    0.0232         5       640    0.8475    0.6477    0.7201    0.4386   0.05859    0.0682         0
   168/299     4.13G   0.01545  0.007515         0   0.02296        16       640    0.8046    0.6477    0.7055    0.4279   0.05878   0.06855         0
   169/299     4.13G   0.01468  0.007196         0   0.02188        21       640    0.7781    0.6558    0.7069    0.4386   0.05786   0.07091         0
   170/299     4.13G   0.01509  0.007339         0   0.02243         8       640    0.8454    0.6233    0.7089    0.4447   0.05708   0.07055         0
   171/299     4.13G   0.01502  0.007709         0   0.02273        23       640     0.832     0.645    0.7131    0.4444    0.0564   0.06992         0
   172/299     4.13G   0.01484   0.00743         0   0.02227        10       640    0.8116     0.642    0.7043    0.4433   0.05672    0.0709         0
   173/299     4.13G   0.01465  0.007387         0   0.02203         8       640    0.7729    0.6639    0.7065    0.4406   0.05662   0.07101         0
   174/299     4.13G    0.0146  0.007564         0   0.02217        24       640    0.7925    0.6531    0.7099    0.4428   0.05702   0.07099         0
   175/299     4.13G   0.01476  0.007377         0   0.02214        24       640    0.7736    0.6856     0.713    0.4456   0.05718   0.07101         0
   176/299     4.13G   0.01461  0.007459         0   0.02207        28       640    0.8618    0.6252    0.7089    0.4465   0.05749   0.07209         0
   177/299     4.13G   0.01375  0.007079         0   0.02083         9       640    0.8203    0.6558    0.7094    0.4469   0.05716   0.07042         0
   178/299     4.13G   0.01467  0.007443         0   0.02211        19       640    0.7967     0.669    0.7036    0.4489   0.05717   0.07193         0
   179/299     4.13G   0.01426  0.007162         0   0.02142        23       640    0.7784    0.6856    0.7032    0.4415   0.05709   0.07172         0
